name,selling_price
Toyota Camry W4 (AT),450000
Maruti Ertiga BSIV ZXI Plus,850000
Volvo XC90 T8 Excellence BSIV,10000000
Volkswagen Vento Diesel Highline,300000
Ford Figo Aspire 1.2 Ti-VCT Trend,575000
Ford Figo Diesel LXI,160000
Maruti Swift VXI Optional,515000
Maruti Wagon R AMT VXI,390000
Hyundai i20 Magna 1.2,550000
Maruti 800 Std,40000
Maruti Ritz VDi,220000
Hyundai Grand i10 Magna,425000
Volkswagen Ameo 1.0 MPI Trendline,480000
Hyundai Grand i10 Sportz,400000
Maruti Swift Dzire VXI,487000
Hyundai Xcent 1.2 Kappa S,386000
Honda City 1.5 EXI,100000
Toyota Corolla Altis Diesel D4DG,300000
Daewoo Matiz SD,100000
Toyota Fortuner 4x2 Manual,1750000
Mahindra KUV 100 mFALCON G80 K8,450000
Tata Zest Quadrajet 1.3 75PS XM,490000
Honda City 1.5 S MT,345000
Maruti Zen LXI,85000
Maruti Wagon R VXI BS IV with ABS,215000
Hyundai Verna Transform SX VTVT,320000
Maruti Swift Dzire VXI,459999
Hyundai Getz GLS,65000
Hyundai Elite i20 Sportz Plus BSIV,720000
Maruti Ciaz 1.3 Alpha,800000
Tata Tigor 1.2 Revotron XZ,520000
Maruti Ertiga VDI,580000
Toyota Etios GD,235000
Honda City i VTEC S,600000
Honda Brio S MT,290000
Maruti Wagon R LXI CNG,360000
Maruti Swift Dzire VXI,550000
Hyundai i20 Sportz 1.2,375000
Maruti Omni E 8 Str STD,40000
Maruti Wagon R AMT VXI,420000
Maruti Swift Dzire VXI 1.2,550000
Maruti Alto 800 LXI,270000
Maruti Swift Dzire AMT VXI BS IV,700000
Maruti Swift VXI Optional,500000
Tata Hexa XE,1250000
Hyundai i20 Magna,320000
Maruti Swift Dzire VDI,700000
Maruti Wagon R VXI BS IV,290000
Toyota Corolla Altis 1.8 VL AT,550000
Honda Brio S MT,265000
Maruti Baleno Alpha Automatic,830000
Tata Safari Storme EX,800000
Maruti Alto LXi,160000
Renault KWID RXT,335000
Datsun GO T BSIV,329000
Maruti Vitara Brezza VDi Option,775000
Hyundai Xcent 1.2 VTVT SX,524000
Maruti Alto 800 LXI,245000
Hyundai i20 1.2 Sportz,275000
Tata Zest Revotron 1.2 XT,520000
Maruti Swift 1.3 VXi,130000
Nissan Sunny XL,550000
Ford EcoSport 1.5 Petrol Titanium Plus BSIV,910000
Nissan Micra Active XV S,300000
Maruti Wagon R LXI Optional,350000
Mahindra Ssangyong Rexton RX5,900000
Mahindra Quanto C8,300000
Maruti Ritz LDi,250000
Hyundai Creta 1.6 CRDi SX Plus Dual Tone,1100000
Renault KWID RXT,270000
Maruti Ertiga VDI,640000
Mahindra XUV500 W4,650000
Maruti Eeco 5 Seater AC BSIV,409999
Hyundai Santro Xing GLS,165000
Hyundai Accent GLE,80000
Mahindra XUV500 W8 2WD,535000
Toyota Innova 2.5 EV (Diesel) PS 7 Seater BS IV,700000
Maruti Swift Dzire VDI,550000
Honda Amaze S CVT Petrol BSIV,680000
Hyundai i10 Sportz 1.2,200000
Maruti Swift Dzire VDI,500000
Maruti Ertiga SHVS ZDI Plus,1000000
Hyundai Getz 1.3 GVS,110000
Hyundai i20 1.2 Magna,320000
Tata Indica DLS,75000
Maruti Swift LXI Optional-O,350000
Tata Indica Vista TDI LS,170000
Hyundai i20 2015-2017 Asta 1.4 CRDi,800000
Maruti Ignis 1.3 Alpha,500000
Tata Hexa XTA,1380000
Mahindra Marazzo M6 8Str,1300000
Hyundai Verna 1.6 CRDI,530000
Maruti Swift Dzire VDI,360000
Maruti Swift Dzire LDi,310000
Honda City i DTEC V,725000
Maruti Swift Dzire ZDi,340000
Hyundai Xcent 1.2 CRDi E,550000
Toyota Fortuner 3.0 Diesel,1150000
Tata Tiago 1.05 Revotorq XZ,380000
Nissan Sunny XL AT Special Edition,350000
Hyundai Elite i20 Magna Plus BSIV,610000
Maruti Swift Dzire VXI,525000
Toyota Innova 2.5 GX 7 STR,480000
Mahindra Thar CRDe,780000
Maruti Swift Dzire ZDi,320000
Maruti Swift 1.2 DLX (Only Delhi),375000
Datsun GO D Petrol,300000
Hyundai i20 Asta 1.4 CRDi,500000
Mahindra Scorpio LX,404000
Tata Sumo Gold EX BSIII,500000
Tata Tiago Wizz 1.05 Revotorq,350000
Tata Zest Revotron 1.2 XT,380000
Hyundai Accent GLE,114999
Honda Brio Exclusive Edition,335000
Hyundai Grand i10 AT Asta,465000
Tata Manza Club Class Quadrajet90 LX,290000
Maruti Alto LX,110000
Tata New Safari DICOR 2.2 EX 4x2,450000
Mahindra Bolero SLE,400000
Mahindra Bolero DI DX 7 Seater,210000
Mercedes-Benz GL-Class 220d 4MATIC Sport,4600000
Maruti Omni E MPI STD BS IV,220000
Hyundai Grand i10 Sportz,450000
Hyundai Grand i10 Sportz,450000
Hyundai i10 Sportz AT,290000
Maruti Swift VXI Deca,520000
Hyundai i10 Sportz AT,265000
Maruti Swift VXI,330000
Maruti Swift VXI,330000
Mahindra Bolero 2011-2019 ZLX,509999
Hyundai Verna 1.6 SX VTVT (O),500000
Hyundai i20 Active 1.2,525000
Maruti Baleno Zeta,675000
Hyundai i20 1.2 Asta,300000
Maruti Alto LXI,90000
Maruti Swift Dzire VDI,650000
Maruti Swift Dzire VXI,409000
Hyundai Grand i10 CRDi Sportz,395000
Maruti Swift 1.3 VXi,215000
Maruti Swift Dzire VXI,400000
Chevrolet Beat LS,120000
Tata Tigor 1.2 Revotron XZA,645000
Maruti 800 Std,81000
Honda City i-DTEC VX,1300000
Honda City i-DTEC VX,1250000
Maruti Ertiga VXI,535000
Nissan Terrano XV Premium 110 PS,555000
Honda City i VTEC VX,725000
Mahindra Willys CJ 3B 4X4,300000
Renault KWID RXL,229999
Toyota Innova 2.5 GX (Diesel) 8 Seater,800000
Maruti Wagon R VXI BS IV,409999
Hyundai Creta 1.4 CRDi S Plus,1210000
Tata Tiago 1.2 Revotron XZ,400000
Hyundai Grand i10 1.2 CRDi Sportz,520000
Maruti Baleno Zeta Automatic,650000
Maruti Swift ZXI ABS,325000
Maruti Swift Dzire VXi AT,420000
Maruti Swift LXI Option,400000
Hyundai i20 1.2 Asta,254999
Maruti Zen LXI,65000
Maruti Celerio LXI,351000
Toyota Innova 2.5 V Diesel 8-seater,404000
Maruti Ritz LDi,185000
Nissan Micra Diesel XV,250000
Maruti Zen LXI,60000
Hyundai Verna 1.6 SX VTVT (O),500000
Maruti Zen Estilo LXI BSIII,85000
Hyundai Santro Xing XL,85000
Maruti Alto LX,85000
Maruti Swift Dzire ZDi,265000
Maruti A-Star Vxi,130000
Maruti Ertiga VDI,480000
Maruti Swift Ldi BSIII,170000
Nissan Micra Diesel XV,275000
Maruti Wagon R LXI,89000
Ford Figo Diesel Titanium,170000
Mahindra XUV300 W8 Option BSIV,1090000
Hyundai Creta 1.6 CRDi AT SX Plus,1100000
Maruti Swift VXI BSIV,610000
Datsun GO T Option BSIV,335000
Hyundai Grand i10 Asta,434999
Toyota Fortuner 2.8 2WD MT BSIV,3000000
Renault KWID RXL,390000
Honda Brio 1.2 VX MT,325000
Volkswagen Ameo 1.2 MPI Comfortline Plus,640000
Nissan Sunny XV Special Edition,450000
Toyota Etios Liva GD SP,400000
Hyundai i10 Sportz,215000
Renault Duster 85PS Diesel RxL,570000
Mahindra XUV500 W8 2WD,680000
Toyota Innova 2.5 V Diesel 7-seater,325000
Tata Indigo CS eGLX BS IV,150000
Hyundai Elantra SX AT,690000
Mercedes-Benz New C-Class 220 CDI AT,1550000
Tata Nano STD,64000
Nissan Micra Diesel XL,250000
Maruti Wagon R LXI,65000
Maruti Swift Dzire VDI,550000
Hyundai i10 Magna,140000
Renault KWID RXT,300000
Volkswagen GTI 1.8 TSI,800000
Jaguar XE 2016-2019 2.0L Diesel Prestige,2625000
Lexus ES 300h,5150000
Jaguar XF 2.0 Diesel Portfolio,3200000
Tata Safari Storme EX,503000
Volvo XC40 D4 Inscription BSIV,3800000
Toyota Camry 2.5 Hybrid,2000000
Maruti Wagon R LXI,225000
Maruti Baleno Alpha 1.3,740000
Honda Jazz VX,550000
Toyota Innova 2.5 VX (Diesel) 7 Seater,750000
Maruti Swift AMT VVT VXI,650000
Toyota Etios VX,625000
Maruti Swift AMT ZXI,600000
Hyundai Grand i10 1.2 CRDi Sportz,450000
BMW X4 M Sport X xDrive20d,5400000
BMW X4 M Sport X xDrive20d,5500000
Honda Amaze V CVT Petrol BSIV,779000
Skoda Rapid 1.6 MPI AT Elegance,645000
Volvo V40 D3 R-Design,2475000
Hyundai i10 Magna,150000
Toyota Etios Liva Diesel TRD Sportivo,265000
Honda CR-V 2.4L 4WD AT,500000
Maruti Swift Dzire VDI,480000
Hyundai Verna 1.6 SX CRDi (O),535000
Toyota Innova 2.5 G1 Diesel 8-seater,250000
Maruti SX4 Celebration Diesel,300000
Hyundai Verna XXi ABS (Petrol),340000
Hyundai Verna CRDi SX,340000
Maruti Alto 800 VXI,240000
Honda City i-VTEC CVT V,1085000
Maruti Swift Dzire AMT VDI,750000
Tata Indigo LS,95000
Maruti Eeco CNG 5 Seater AC,409999
Maruti Alto K10 VXI,215000
Mahindra XUV500 AT W10 AWD,1290000
Maruti Alto K10 LXI,150000
Hyundai EON Sportz,219000
Tata Tiago 1.2 Revotron XE,325000
Maruti Eeco Smiles 5 Seater AC,260000
Jaguar XE 2016-2019 2.0L Diesel Prestige,2625000
Lexus ES 300h,5150000
Jaguar XF 2.0 Diesel Portfolio,3200000
Tata Safari Storme EX,503000
Volvo XC40 D4 Inscription BSIV,3800000
Toyota Camry 2.5 Hybrid,2000000
Maruti Wagon R LXI,225000
Maruti Baleno Alpha 1.3,740000
Honda Jazz VX,550000
Toyota Innova 2.5 VX (Diesel) 7 Seater,750000
Maruti Swift AMT VVT VXI,650000
Toyota Etios VX,625000
Maruti Swift AMT ZXI,600000
Hyundai Grand i10 1.2 CRDi Sportz,450000
BMW X4 M Sport X xDrive20d,5400000
BMW X4 M Sport X xDrive20d,5500000
Honda Amaze V CVT Petrol BSIV,779000
Skoda Rapid 1.6 MPI AT Elegance,645000
Volvo V40 D3 R-Design,2475000
Honda Amaze S CVT Diesel BSIV,700000
Hyundai Creta 1.4 CRDi Base,950000
Maruti Alto LXi BSIII,160000
Hyundai Xcent 1.1 CRDi S Option,409999
Toyota Innova 2.5 G (Diesel) 7 Seater,840000
Toyota Etios Liva Diesel,450000
Maruti Swift Dzire ZDI Plus,900000
Toyota Innova 2.5 V Diesel 7-seater,570000
Nissan Micra Diesel XV,254999
Maruti 800 AC BSIII,130000
Maruti Swift Dzire VDI,530000
Volkswagen Polo 1.5 TDI Highline,520000
Mahindra Verito 1.5 D2 BSIII,229999
Maruti 800 AC BSIII,81000
Maruti Swift VDI Optional,600000
Hyundai Xcent 1.2 Kappa S Option,409999
Maruti 800 Std,120000
Maruti Celerio VXI,320000
Ford Figo Diesel EXI,292000
Tata Safari DICOR 2.2 LX 4x2,390000
Ford Figo 1.2P Titanium Plus MT,550000
Maruti Celerio ZXI,385000
Hyundai Creta 1.6 VTVT S,800000
Maruti Swift Dzire VXI 1.2,675000
Tata Hexa XT,1525000
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,950000
Hyundai i20 Active 1.4 SX with AVN,610000
Hyundai i20 Asta 1.4 CRDi,525000
Honda Amaze S CVT Diesel BSIV,700000
Mahindra Bolero 2011-2019 SLE,375000
Nissan Terrano XL Plus 85 PS,580000
Maruti Swift VXI Windsong Limited edition,434999
Datsun RediGO 1.0 S,350000
Toyota Innova 2.5 G (Diesel) 7 Seater,730000
Hyundai i20 Magna 1.2,600000
Toyota Innova 2.5 VX (Diesel) 7 Seater,1050000
Maruti Baleno Alpha 1.3,735000
Renault Duster 110PS Diesel RxZ,1050000
Chevrolet Enjoy 1.3 TCDi LS 7,420000
Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,800000
Toyota Fortuner 4x2 AT,2000000
Maruti Swift Dzire VDI,600000
Toyota Fortuner 4x2 AT,1900000
Chevrolet Captiva LT,500000
Tata Indica Vista Aqua 1.4 TDI,200000
Nissan Micra Active XL Petrol,370000
Hyundai Verna Transform CRDi VGT SX ABS,260000
Mahindra KUV 100 mFALCON D75 K8,280000
Maruti Ertiga VXI,610000
Ford Fiesta Titanium 1.5 TDCi,300000
Tata Indigo CS LX DiCOR,140000
Hyundai i10 Magna 1.1L,229999
Maruti A-Star Vxi,200000
Maruti Wagon R VXI BSIII,200000
Hyundai Verna 1.6 CRDi S,560000
Maruti Ertiga SHVS VDI,750000
Maruti Swift VDI BSIV,585000
Hyundai Verna 1.6 VTVT S Option,760000
Maruti Swift VDI BSIV,430000
Mahindra KUV 100 D75 K6 Plus,480000
Kia Seltos HTE D,643000
Hyundai Xcent 1.2 VTVT S,500000
Honda Brio 1.2 S MT,425000
Maruti Alto 800 LXI,250000
Maruti Celerio LDi,285000
Maruti Swift Dzire VXi,160000
Volkswagen Vento Diesel Trendline,250000
Chevrolet Beat LS,170000
Toyota Etios Liva GD,409999
Hyundai Grand i10 AT Asta,400000
Maruti Swift Dzire VDI,700000
Honda Civic 1.8 V AT,350000
Maruti Ertiga BSIV VXI,660000
Maruti Alto 800 VXI,268000
Maruti Alto 800 VXI,270000
Chevrolet Beat Diesel LT,300000
Tata Tiago 1.2 Revotron XZ,450000
Chevrolet Beat Diesel LT,220000
Tata New Safari DICOR 2.2 VX 4x2,250000
Ford Figo Petrol EXI,300000
Tata Indica V2 2001-2011 DLS BSIII,88000
Maruti Swift Dzire VDI,561000
Maruti Swift Dzire VDI,755000
Datsun RediGO S,235000
Maruti Alto K10 LXI,165000
Maruti Swift Dzire LDi,190000
Tata Indica V2 DLX BSII,110000
Mahindra Bolero 2011-2019 DI 4WD NON AC,320000
Maruti Swift VDI BSIV,330000
Hyundai i20 Asta Option 1.2,540000
Hyundai EON Era Plus,180000
Maruti Eeco 7 Seater Standard BSIV,270000
Maruti Swift Dzire 1.2 Vxi BSIV,450000
Maruti Swift Dzire VXI,450000
Chevrolet Beat LT,200000
Tata Tiago 1.2 Revotron XZ,425000
Chevrolet Sail 1.2 LS ABS,400000
Maruti Alto LXi BSIII,125000
Jeep Compass 2.0 Longitude Option BSIV,1600000
Honda City i VTEC VX,900000
Volkswagen Vento Diesel Highline,450000
Maruti Alto K10 2010-2014 VXI,210000
Hyundai i20 1.2 Asta Option,801000
Tata Venture EX 7 Str Captain Seats,317000
Maruti Ertiga VXI,600000
Hyundai i20 Magna,330000
Hyundai EON Magna Plus,320000
Maruti Estilo LXI,160000
Hyundai Getz GLX,120000
Maruti Alto LXi,130000
Chevrolet Sail 1.2 LS,220000
Maruti Swift VDI BSIV,229999
Tata Zest Revotron 1.2T XM,340000
Ford Classic 1.4 Duratorq CLXI,200000
Maruti Alto LXI,140000
Toyota Innova 2.5 G (Diesel) 8 Seater,1000000
Mahindra Bolero SLX,495000
Maruti Alto 800 LXI,236000
Maruti Wagon R VXI BS IV,390000
Maruti Swift Dzire VDi,275000
Tata Safari Storme EX,503000
Maruti Vitara Brezza ZDi Plus Dual Tone,775000
Toyota Innova Crysta 2.8 ZX AT BSIV,1800000
Hyundai Creta 1.6 CRDi SX,850000
Maruti Vitara Brezza VDi,750000
Hyundai i20 1.2 Spotz,570000
Hyundai Grand i10 1.2 Kappa Sportz BSIV,580000
Honda Jazz 1.2 VX i VTEC,484999
Honda BR-V i-VTEC S MT,700000
Hyundai Verna S,415000
Nissan Micra XV CVT,325000
Ford Figo Aspire 1.2 Ti-VCT Trend,550000
Hyundai EON Sportz,300000
Datsun RediGO T Option,217000
Ford Freestyle Titanium Petrol BSIV,700000
Hyundai Santro Sportz AMT BSIV,466000
Ford EcoSport 1.5 Diesel Trend BSIV,484999
Nissan Sunny XL D,670000
Hyundai Grand i10 1.2 Kappa Sportz BSIV,500000
Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,675000
Hyundai i20 1.4 CRDi Asta,220000
Jeep Compass 2.0 Limited,1650000
Maruti Ertiga ZDI,630000
Tata Manza Aura Quadrajet,250000
Maruti Wagon R LXI,120000
Skoda Rapid 1.5 TDI Elegance,300000
Hyundai Verna 1.6 CRDi EX AT,525000
Maruti Alto K10 LXI,204999
Maruti Alto K10 LXI,204999
Mahindra Scorpio 1.99 S10,1100000
Renault Duster 110PS Diesel RxZ,480000
Mahindra XUV500 W4,605000
Maruti Alto 800 LXI Optional,250000
Ford Figo Diesel Celebration Edition,245000
Hyundai i10 Magna 1.2 iTech SE,210000
Maruti Swift Dzire VXI 1.2,730000
Mahindra Bolero 2011-2019 SLX,500000
Maruti Wagon R VXI Optional,400000
Hyundai EON Magna Plus,280000
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,561000
Mitsubishi Pajero Sport 4X4,950000
Chevrolet Beat Diesel LS,375000
Volkswagen Ameo 1.5 TDI Comfortline,700000
Toyota Etios VX,375000
Hyundai EON Era Plus,270000
Renault KWID RXT,300000
Maruti Zen Estilo VXI BSIV,225000
Toyota Innova 2.5 G (Diesel) 8 Seater,1350000
Maruti Zen Estilo LXI BSIII,200000
Hyundai Verna 1.6 SX,400000
Honda Amaze VX i-DTEC,500000
Maruti Swift VXI BSIV,500000
Toyota Fortuner 2.8 2WD MT,1500000
Ford Ecosport 1.5 Ti VCT MT Titanium,555000
Hyundai Grand i10 1.2 Kappa Magna AT,580000
Tata Aria Pride,337000
Tata Sumo CX 10 Str BSIV,175000
Tata Manza Aura Plus Quadrajet,180000
Hyundai i10 Sportz 1.1L,200000
Tata Indigo CS LX (TDI) BS-III,260000
Renault KWID 1.0 RXT Optional,350000
Mahindra Bolero SLX,409999
Mahindra TUV 300 T8,655000
Maruti Swift Dzire LDI,370000
Maruti Alto 800 LXI,200000
Maruti Ertiga SHVS ZDI,800000
Tata Tiago NRG Petrol,550000
Ford Figo Diesel ZXI,300000
Maruti Omni E MPI STD BS IV,220000
Maruti Wagon R LXI BS IV,196000
Hyundai i10 Era,135000
Tata Bolt Revotron XE,299000
Maruti Alto K10 VXI,300000
Maruti Ertiga SHVS VDI,720000
Tata Safari Storme EX,650000
Maruti Alto K10 VXI,300000
Hyundai Grand i10 1.2 CRDi Asta,750000
Renault KWID RXT,260000
Maruti Swift VDI,300000
Mahindra Bolero 2011-2019 SLX,600000
Honda Accord V6 AT,275000
Maruti Alto K10 VXI,250000
Maruti Swift Dzire VDI,420000
Hyundai EON Era Plus,235000
Mahindra Scorpio S10 7 Seater,1100000
Maruti Alto K10 VXI,360000
Hyundai Grand i10 CRDi Asta,380000
Ford EcoSport 1.5 TDCi Titanium BSIV,650000
Maruti Wagon R VXI Optional,350000
Mahindra Bolero 2011-2019 DI - AC BS III,700000
Hyundai i20 Asta (o) 1.4 CRDi (Diesel),270000
Tata Bolt Quadrajet XE,450000
Mahindra Thar CRDe,630000
Mahindra Xylo E4 BS IV,229999
Mahindra Xylo E4 BS IV,229999
Maruti Wagon R VXI BS IV,270000
Tata Indica Vista Aura Safire Anniversary Edition,135000
Maruti Wagon R VXI BS IV,275000
Jaguar XE 2016-2019 2.0L Diesel Prestige,2625000
Lexus ES 300h,5150000
Jaguar XF 2.0 Diesel Portfolio,3200000
Tata Safari Storme EX,503000
Volvo XC40 D4 Inscription BSIV,3800000
Toyota Camry 2.5 Hybrid,2000000
Maruti Wagon R LXI,225000
Maruti Baleno Alpha 1.3,740000
Honda Jazz VX,550000
Toyota Innova 2.5 VX (Diesel) 7 Seater,750000
Maruti Swift AMT VVT VXI,650000
Toyota Etios VX,625000
Maruti Swift AMT ZXI,600000
Hyundai Grand i10 1.2 CRDi Sportz,450000
BMW X4 M Sport X xDrive20d,5400000
BMW X4 M Sport X xDrive20d,5500000
Honda Amaze V CVT Petrol BSIV,779000
Skoda Rapid 1.6 MPI AT Elegance,645000
Volvo V40 D3 R-Design,2475000
Mahindra TUV 300 T8,634000
Maruti A-Star Zxi,235000
Hyundai i10 Asta,275000
Mahindra Thar CRDe AC,700000
Fiat Grande Punto Sport 90BHP,400000
Maruti Alto LXi,215000
Hyundai Getz 1.5 CRDi GVS,150000
Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,950000
Mahindra TUV 300 T8,730000
Tata Indica V2 Turbomax DLS BS IV,135000
Hyundai Xcent 1.2 Kappa Base,350000
Mahindra KUV 100 G80 K6 Plus,535000
Maruti Swift Dzire Tour S CNG,455000
Maruti Swift Dzire VXI 1.2,655000
Ford EcoSport 1.5 Diesel Titanium BSIV,800000
Toyota Yaris V CVT BSIV,1100000
Mercedes-Benz E-Class E250 CDI Avantgarde,3000000
Toyota Fortuner 4x2 4 Speed AT,1225000
Mahindra KUV 100 G80 K2,340000
